TRACK_ID	gene	condition	IP_tag	timepoint	rep	ChIPmix
AN1678_sCopy_OE_16h_HIS_ChIPMix55_2	AN1678	AN1678_sCopy_OE	HIS	16h	2	ChIPMix55
AN1678_sCopy_OE_16h_polII_ChIPMix55_1	AN1678	AN1678_sCopy_OE	polII	16h	1	ChIPMix55
AN1678_sCopy_OE_16h_polII_ChIPMix60_2	AN1678	AN1678_sCopy_OE	polII	16h	2	ChIPMix60
AN2025_sCopy_OE_16h_HA_ChIPMix36_1	AN2025	AN2025_sCopy_OE	HA	16h	1	ChIPMix36
AN2025_sCopy_OE_16h_polII_ChIPMix36_1	AN2025	AN2025_sCopy_OE	polII	16h	1	ChIPMix36
AN2025_sCopy_OE_16h_polII_ChIPMix60_2	AN2025	AN2025_sCopy_OE	polII	16h	2	ChIPMix60
AN2025_sCopy_OE_16h_polII_ChIPMix66_3	AN2025	AN2025_sCopy_OE	polII	16h	3	ChIPMix66
AN2026_sCopy_OE_16h_HA_ChIPMix46_1	AN2026	AN2026_sCopy_OE	HA	16h	1	ChIPMix46
AN2026_sCopy_OE_16h_HA_ChIPMix64_2	AN2026	AN2026_sCopy_OE	HA	16h	2	ChIPMix64
AN2026_sCopy_OE_16h_polII_ChIPMix60_1	AN2026	AN2026_sCopy_OE	polII	16h	1	ChIPMix60
AN2026_sCopy_OE_16h_polII_ChIPMix60_2	AN2026	AN2026_sCopy_OE	polII	16h	2	ChIPMix60
AN2036_sCopy_OE_16h_HA_ChIPMix64_1	AN2036	AN2036_sCopy_OE	HA	16h	1	ChIPMix64
AN2036_sCopy_OE_16h_HA_ChIPMix64_2	AN2036	AN2036_sCopy_OE	HA	16h	2	ChIPMix64
AN2036_sCopy_OE_16h_polII_ChIPMix66_1	AN2036	AN2036_sCopy_OE	polII	16h	1	ChIPMix66
AN2036_sCopy_OE_16h_polII_ChIPMix66_2	AN2036	AN2036_sCopy_OE	polII	16h	2	ChIPMix66
AN2241_sCopy_OE_16h_HA_ChIPMix36_1	AN2241	AN2241_sCopy_OE	HA	16h	1	ChIPMix36
AN2241_sCopy_OE_16h_HA_ChIPMix64_2	AN2241	AN2241_sCopy_OE	HA	16h	2	ChIPMix64
AN2241_sCopy_OE_16h_polII_ChIPMix36_1	AN2241	AN2241_sCopy_OE	polII	16h	1	ChIPMix36
AN2241_sCopy_OE_16h_polII_ChIPMix60_2	AN2241	AN2241_sCopy_OE	polII	16h	2	ChIPMix60
AN2553_mCopy_OE_16h_HIS_ChIPMix17_1	AN2553	AN2553_mCopy_OE	HIS	16h	1	ChIPMix17
AN2553_mCopy_OE_16h_polII_ChIPMix17_1	AN2553	AN2553_mCopy_OE	polII	16h	1	ChIPMix17
AN2553_sCopy_OE_16h_HIS_ChIPMix36_2	AN2553	AN2553_sCopy_OE	HIS	16h	2	ChIPMix36
AN2553_sCopy_OE_16h_polII_ChIPMix66_2	AN2553	AN2553_sCopy_OE	polII	16h	2	ChIPMix66
AN3269_sCopy_OE_16h_HA_ChIPMix36_1	AN3269	AN3269_sCopy_OE	HA	16h	1	ChIPMix36
AN3269_sCopy_OE_16h_HA_ChIPMix55_2	AN3269	AN3269_sCopy_OE	HA	16h	2	ChIPMix55
AN3269_sCopy_OE_16h_polII_ChIPMix60_1	AN3269	AN3269_sCopy_OE	polII	16h	1	ChIPMix60
AN3280_sCopy_OE_16h_HA_ChIPMix36_1	AN3280	AN3280_sCopy_OE	HA	16h	1	ChIPMix36
AN3280_sCopy_OE_16h_HA_ChIPMix55_2	AN3280	AN3280_sCopy_OE	HA	16h	2	ChIPMix55
AN3280_sCopy_OE_16h_HA_ChIPMix64_3	AN3280	AN3280_sCopy_OE	HA	16h	3	ChIPMix64
AN3280_sCopy_OE_16h_polII_ChIPMix60_1	AN3280	AN3280_sCopy_OE	polII	16h	1	ChIPMix60
AN3280_sCopy_OE_16h_polII_ChIPMix66_2	AN3280	AN3280_sCopy_OE	polII	16h	2	ChIPMix66
AN3280_sCopy_OE_16h_polII_ChIPMix66_3	AN3280	AN3280_sCopy_OE	polII	16h	3	ChIPMix66
AN3391_mCopy_OE_16h_HA_ChIPMix17_1	AN3391	AN3391_mCopy_OE	HA	16h	1	ChIPMix17
AN3391_mCopy_OE_16h_polII_ChIPMix17_1	AN3391	AN3391_mCopy_OE	polII	16h	1	ChIPMix17
AN3391_sCopy_OE_16h_HA_ChIPMix36_2	AN3391	AN3391_sCopy_OE	HA	16h	2	ChIPMix36
AN3391_sCopy_OE_16h_polII_ChIPMix60_2	AN3391	AN3391_sCopy_OE	polII	16h	2	ChIPMix60
AN3391_sCopy_OE_16h_polII_ChIPMix66_3	AN3391	AN3391_sCopy_OE	polII	16h	3	ChIPMix66
AN3501_mCopy_OE_16h_HIS_ChIPMix17_1	AN3501	AN3501_mCopy_OE	HIS	16h	1	ChIPMix17
AN3501_mCopy_OE_16h_polII_ChIPMix17_1	AN3501	AN3501_mCopy_OE	polII	16h	1	ChIPMix17
AN3501_sCopy_OE_16h_HA_ChIPMix55_1	AN3501	AN3501_sCopy_OE	HA	16h	1	ChIPMix55
AN3501_sCopy_OE_16h_HA_ChIPMix64_3	AN3501	AN3501_sCopy_OE	HA	16h	3	ChIPMix64
AN3501_sCopy_OE_16h_HIS_ChIPMix36_2	AN3501	AN3501_sCopy_OE	HIS	16h	2	ChIPMix36
AN3501_sCopy_OE_16h_polII_ChIPMix60_2	AN3501	AN3501_sCopy_OE	polII	16h	2	ChIPMix60
AN3501_sCopy_OE_16h_polII_ChIPMix66_3	AN3501	AN3501_sCopy_OE	polII	16h	3	ChIPMix66
AN3502_sCopy_OE_16h_HA_ChIPMix17_1	AN3502	AN3502_sCopy_OE	HA	16h	1	ChIPMix17
AN3502_sCopy_OE_16h_HA_ChIPMix55_2	AN3502	AN3502_sCopy_OE	HA	16h	2	ChIPMix55
AN3502_sCopy_OE_16h_polII_ChIPMix17_1	AN3502	AN3502_sCopy_OE	polII	16h	1	ChIPMix17
AN3502_sCopy_OE_16h_polII_ChIPMix60_2	AN3502	AN3502_sCopy_OE	polII	16h	2	ChIPMix60
AN3911_sCopy_OE_16h_FLAG_ChIPMix36_1	AN3911	AN3911_sCopy_OE	FLAG	16h	1	ChIPMix36
AN3911_sCopy_OE_16h_polII_ChIPMix60_1	AN3911	AN3911_sCopy_OE	polII	16h	1	ChIPMix60
AN3911_sCopy_OE_16h_polII_ChIPMix66_2	AN3911	AN3911_sCopy_OE	polII	16h	2	ChIPMix66
AN4562_sCopy_OE_16h_HA_ChIPMix46_1	AN4562	AN4562_sCopy_OE	HA	16h	1	ChIPMix46
AN4562_sCopy_OE_16h_HA_ChIPMix55_2	AN4562	AN4562_sCopy_OE	HA	16h	2	ChIPMix55
AN4562_sCopy_OE_16h_polII_ChIPMix36_1	AN4562	AN4562_sCopy_OE	polII	16h	1	ChIPMix36
AN4562_sCopy_OE_16h_polII_ChIPMix55_2	AN4562	AN4562_sCopy_OE	polII	16h	2	ChIPMix55
AN4837_sCopy_OE_16h_HA_ChIPMix55_1	AN4837	AN4837_sCopy_OE	HA	16h	1	ChIPMix55
AN4837_sCopy_OE_16h_HA_ChIPMix55_2	AN4837	AN4837_sCopy_OE	HA	16h	2	ChIPMix55
AN4837_sCopy_OE_16h_polII_ChIPMix60_1	AN4837	AN4837_sCopy_OE	polII	16h	1	ChIPMix60
AN4837_sCopy_OE_16h_polII_ChIPMix66_2	AN4837	AN4837_sCopy_OE	polII	16h	2	ChIPMix66
AN4933_sCopy_OE_16h_HA_ChIPMix55_1	AN4933	AN4933_sCopy_OE	HA	16h	1	ChIPMix55
AN4933_sCopy_OE_16h_HA_ChIPMix64_2	AN4933	AN4933_sCopy_OE	HA	16h	2	ChIPMix64
AN4933_sCopy_OE_16h_polII_ChIPMix56_1	AN4933	AN4933_sCopy_OE	polII	16h	1	ChIPMix56
AN4933_sCopy_OE_16h_polII_ChIPMix60_2	AN4933	AN4933_sCopy_OE	polII	16h	2	ChIPMix60
AN4933_sCopy_OE_16h_polII_ChIPMix66_3	AN4933	AN4933_sCopy_OE	polII	16h	3	ChIPMix66
AN5609_sCopy_OE_16h_HA_ChIPMix36_1	AN5609	AN5609_sCopy_OE	HA	16h	1	ChIPMix36
AN5609_sCopy_OE_16h_polII_ChIPMix36_1	AN5609	AN5609_sCopy_OE	polII	16h	1	ChIPMix36
AN5609_sCopy_OE_16h_polII_ChIPMix60_2	AN5609	AN5609_sCopy_OE	polII	16h	2	ChIPMix60
AN6430_sCopy_OE_16h_HA_ChIPMix17_1	AN6430	AN6430_sCopy_OE	HA	16h	1	ChIPMix17
AN6430_sCopy_OE_16h_polII_ChIPMix17_1	AN6430	AN6430_sCopy_OE	polII	16h	1	ChIPMix17
AN6430_sCopy_OE_16h_polII_ChIPMix60_2	AN6430	AN6430_sCopy_OE	polII	16h	2	ChIPMix60
AN6430_sCopy_OE_16h_polII_ChIPMix66_3	AN6430	AN6430_sCopy_OE	polII	16h	3	ChIPMix66
AN6788_sCopy_OE_16h_HA_ChIPMix36_1	AN6788	AN6788_sCopy_OE	HA	16h	1	ChIPMix36
AN6788_sCopy_OE_16h_HA_ChIPMix36_2	AN6788	AN6788_sCopy_OE	HA	16h	2	ChIPMix36
AN6788_sCopy_OE_16h_polII_ChIPMix60_1	AN6788	AN6788_sCopy_OE	polII	16h	1	ChIPMix60
AN6788_sCopy_OE_16h_polII_ChIPMix60_2	AN6788	AN6788_sCopy_OE	polII	16h	2	ChIPMix60
AN6790_mCopy_OE_16h_FLAG_ChIPMix17_1	AN6790	AN6790_mCopy_OE	FLAG	16h	1	ChIPMix17
AN6790_mCopy_OE_16h_polII_ChIPMix17_1	AN6790	AN6790_mCopy_OE	polII	16h	1	ChIPMix17
AN6790_mCopy_OE_TSA_16h_FLAG_ChIPMix19_1	AN6790	AN6790_mCopy_OE_TSA	FLAG	16h	1	ChIPMix19
AN6790_mCopy_OE_TSA_16h_polII_ChIPMix19_1	AN6790	AN6790_mCopy_OE_TSA	polII	16h	1	ChIPMix19
AN6790_sCopy_OE_16h_FLAG_ChIPMix36_2	AN6790	AN6790_sCopy_OE	FLAG	16h	2	ChIPMix36
AN6790_sCopy_OE_16h_polII_ChIPMix60_2	AN6790	AN6790_sCopy_OE	polII	16h	2	ChIPMix60
AN7061_sCopy_OE_16h_HA_ChIPMix17_1	AN7061	AN7061_sCopy_OE	HA	16h	1	ChIPMix17
AN7061_sCopy_OE_16h_HA_ChIPMix64_2	AN7061	AN7061_sCopy_OE	HA	16h	2	ChIPMix64
AN7061_sCopy_OE_16h_polII_ChIPMix17_1	AN7061	AN7061_sCopy_OE	polII	16h	1	ChIPMix17
AN7061_sCopy_OE_16h_polII_ChIPMix60_2	AN7061	AN7061_sCopy_OE	polII	16h	2	ChIPMix60
AN7072_sCopy_OE_16h_HA_ChIPMix36_1	AN7072	AN7072_sCopy_OE	HA	16h	1	ChIPMix36
AN7072_sCopy_OE_16h_HA_ChIPMix55_2	AN7072	AN7072_sCopy_OE	HA	16h	2	ChIPMix55
AN7072_sCopy_OE_16h_polII_ChIPMix60_1	AN7072	AN7072_sCopy_OE	polII	16h	1	ChIPMix60
AN7072_sCopy_OE_16h_polII_ChIPMix60_2	AN7072	AN7072_sCopy_OE	polII	16h	2	ChIPMix60
AN7073_sCopy_OE_16h_HIS_ChIPMix36_1	AN7073	AN7073_sCopy_OE	HIS	16h	1	ChIPMix36
AN7513_sCopy_OE_16h_HA_ChIPMix55_1	AN7513	AN7513_sCopy_OE	HA	16h	1	ChIPMix55
AN7513_sCopy_OE_16h_HA_ChIPMix55_2	AN7513	AN7513_sCopy_OE	HA	16h	2	ChIPMix55
AN7513_sCopy_OE_16h_polII_ChIPMix55_1	AN7513	AN7513_sCopy_OE	polII	16h	1	ChIPMix55
AN7513_sCopy_OE_16h_polII_ChIPMix66_2	AN7513	AN7513_sCopy_OE	polII	16h	2	ChIPMix66
AN7820_sCopy_OE_16h_H3K27Ac_ChIPMix55_1	AN7820	AN7820_sCopy_OE	H3K27Ac	16h	1	ChIPMix55
AN7820_sCopy_OE_16h_HA_ChIPMix36_1	AN7820	AN7820_sCopy_OE	HA	16h	1	ChIPMix36
AN7820_sCopy_OE_16h_HA_ChIPMix36_2	AN7820	AN7820_sCopy_OE	HA	16h	2	ChIPMix36
AN7820_sCopy_OE_16h_HA_ChIPMix55_3	AN7820	AN7820_sCopy_OE	HA	16h	3	ChIPMix55
AN7820_sCopy_OE_16h_polII_ChIPMix55_1	AN7820	AN7820_sCopy_OE	polII	16h	1	ChIPMix55
AN7820_sCopy_OE_16h_polII_ChIPMix56_2	AN7820	AN7820_sCopy_OE	polII	16h	2	ChIPMix56
AN7820_sCopy_OE_16h_polII_ChIPMix66_3	AN7820	AN7820_sCopy_OE	polII	16h	3	ChIPMix66
AN7820_sCopy_OE_no_Xyl_16h_H3K27Ac_ChIPMix55_1	AN7820	AN7820_sCopy_OE_no_Xyl	H3K27Ac	16h	1	ChIPMix55
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix56_1	AN7820	AN7820_sCopy_OE_no_Xyl	polII	16h	1	ChIPMix56
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix66_2	AN7820	AN7820_sCopy_OE_no_Xyl	polII	16h	2	ChIPMix66
AN7872_sCopy_OE_16h_HA_ChIPMix36_1	AN7872	AN7872_sCopy_OE	HA	16h	1	ChIPMix36
AN7872_sCopy_OE_16h_polII_ChIPMix60_1	AN7872	AN7872_sCopy_OE	polII	16h	1	ChIPMix60
AN7872_sCopy_OE_16h_polII_ChIPMix60_2	AN7872	AN7872_sCopy_OE	polII	16h	2	ChIPMix60
AN7896_sCopy_OE_16h_HA_ChIPMix36_1	AN7896	AN7896_sCopy_OE	HA	16h	1	ChIPMix36
AN7896_sCopy_OE_16h_HA_ChIPMix36_2	AN7896	AN7896_sCopy_OE	HA	16h	2	ChIPMix36
AN7896_sCopy_OE_16h_HA_ChIPMix55_3	AN7896	AN7896_sCopy_OE	HA	16h	3	ChIPMix55
AN7896_sCopy_OE_16h_polII_ChIPMix60_1	AN7896	AN7896_sCopy_OE	polII	16h	1	ChIPMix60
AN7896_sCopy_OE_16h_polII_ChIPMix66_2	AN7896	AN7896_sCopy_OE	polII	16h	2	ChIPMix66
AN7919_mCopy_OE_16h_HA_ChIPMix17_1	AN7919	AN7919_mCopy_OE	HA	16h	1	ChIPMix17
