TRACK_ID	gene	IP_tag	timepoint	rep	ChIPmix
AN7073_sCopy_OE_16h_HIS_ChIPMix36_1	AN7073	HIS	16h	1	ChIPMix36
AN7513_sCopy_OE_16h_HA_ChIPMix55_1	AN7513	HA	16h	1	ChIPMix55
AN7513_sCopy_OE_16h_HA_ChIPMix55_2	AN7513	HA	16h	2	ChIPMix55
AN7513_sCopy_OE_16h_polII_ChIPMix55_1	AN7513	polII	16h	1	ChIPMix55
AN7820_sCopy_OE_16h_H3K27Ac_ChIPMix55_1	AN7820	H3K27Ac	16h	1	ChIPMix55
AN7820_sCopy_OE_16h_HA_ChIPMix36_1	AN7820	HA	16h	1	ChIPMix36
AN7820_sCopy_OE_16h_HA_ChIPMix36_2	AN7820	HA	16h	2	ChIPMix36
AN7820_sCopy_OE_16h_HA_ChIPMix55_3	AN7820	HA	16h	3	ChIPMix55
AN7820_sCopy_OE_16h_polII_ChIPMix55_1	AN7820	polII	16h	1	ChIPMix55
AN7820_sCopy_OE_16h_polII_ChIPMix56_2	AN7820	polII	16h	2	ChIPMix56
AN7820_sCopy_OE_no_Xyl_16h_H3K27Ac_ChIPMix55_1	AN7820	H3K27Ac	16h	1	ChIPMix55
AN7820_sCopy_OE_no_Xyl_16h_polII_ChIPMix56_1	AN7820	polII	16h	1	ChIPMix56
AN7872_sCopy_OE_16h_HA_ChIPMix36_1	AN7872	HA	16h	1	ChIPMix36
AN7872_sCopy_OE_16h_polII_ChIPMix60_1	AN7872	polII	16h	1	ChIPMix60
AN7872_sCopy_OE_16h_polII_ChIPMix60_2	AN7872	polII	16h	2	ChIPMix60
AN7896_sCopy_OE_16h_HA_ChIPMix36_1	AN7896	HA	16h	1	ChIPMix36
AN7896_sCopy_OE_16h_HA_ChIPMix36_2	AN7896	HA	16h	2	ChIPMix36
AN7896_sCopy_OE_16h_HA_ChIPMix55_3	AN7896	HA	16h	3	ChIPMix55
AN7896_sCopy_OE_16h_polII_ChIPMix60_1	AN7896	polII	16h	1	ChIPMix60
AN7919_mCopy_OE_16h_HA_ChIPMix17_1	AN7919	HA	16h	1	ChIPMix17
AN7919_mCopy_OE_16h_polII_ChIPMix17_1	AN7919	polII	16h	1	ChIPMix17
AN7919_sCopy_OE_16h_HA_ChIPMix36_2	AN7919	HA	16h	2	ChIPMix36
AN7919_sCopy_OE_16h_polII_ChIPMix60_2	AN7919	polII	16h	2	ChIPMix60
AN7921_sCopy_OE_16h_HA_ChIPMix36_1	AN7921	HA	16h	1	ChIPMix36
AN7921_sCopy_OE_16h_HA_ChIPMix55_2	AN7921	HA	16h	2	ChIPMix55
AN7921_sCopy_OE_16h_polII_ChIPMix55_1	AN7921	polII	16h	1	ChIPMix55
AN7921_sCopy_OE_16h_polII_ChIPMix60_2	AN7921	polII	16h	2	ChIPMix60
AN7923_sCopy_OE_16h_HA_ChIPMix55_1	AN7923	HA	16h	1	ChIPMix55
AN7923_sCopy_OE_16h_HA_ChIPMix55_2	AN7923	HA	16h	2	ChIPMix55
AN7923_sCopy_OE_16h_polII_ChIPMix55_1	AN7923	polII	16h	1	ChIPMix55
AN7923_sCopy_OE_16h_polII_ChIPMix60_2	AN7923	polII	16h	2	ChIPMix60
AN8111_sCopy_OE_16h_HA_ChIPMix36_1	AN8111	HA	16h	1	ChIPMix36
AN8111_sCopy_OE_16h_HA_ChIPMix36_2	AN8111	HA	16h	2	ChIPMix36
AN8111_sCopy_OE_16h_polII_ChIPMix60_1	AN8111	polII	16h	1	ChIPMix60
AN8111_sCopy_OE_16h_polII_ChIPMix60_2	AN8111	polII	16h	2	ChIPMix60
AN8251_sCopy_OE_16h_HA_ChIPMix36_1	AN8251	HA	16h	1	ChIPMix36
AN8251_sCopy_OE_16h_HA_ChIPMix55_2	AN8251	HA	16h	2	ChIPMix55
AN8251_sCopy_OE_16h_polII_ChIPMix56_1	AN8251	polII	16h	1	ChIPMix56
AN8251_sCopy_OE_16h_polII_ChIPMix60_2	AN8251	polII	16h	2	ChIPMix60
AN8391_sCopy_OE_16h_HA_ChIPMix36_1	AN8391	HA	16h	1	ChIPMix36
AN8391_sCopy_OE_16h_HA_ChIPMix55_2	AN8391	HA	16h	2	ChIPMix55
AN8506_mCopy_OE_16h_FLAG_ChIPMix17_1	AN8506	FLAG	16h	1	ChIPMix17
AN8506_mCopy_OE_16h_polII_ChIPMix17_1	AN8506	polII	16h	1	ChIPMix17
AN8506_sCopy_OE_16h_FLAG_ChIPMix36_2	AN8506	FLAG	16h	2	ChIPMix36
AN8506_sCopy_OE_16h_polII_ChIPMix60_2	AN8506	polII	16h	2	ChIPMix60
AN8509_sCopy_OE_16h_HA_ChIPMix55_1	AN8509	HA	16h	1	ChIPMix55
AN8509_sCopy_OE_16h_HA_ChIPMix55_2	AN8509	HA	16h	2	ChIPMix55
AN8509_sCopy_OE_16h_polII_ChIPMix55_1	AN8509	polII	16h	1	ChIPMix55
AN8509_sCopy_OE_16h_polII_ChIPMix60_2	AN8509	polII	16h	2	ChIPMix60
AN8645_sCopy_OE_16h_HA_ChIPMix55_1	AN8645	HA	16h	1	ChIPMix55
AN8645_sCopy_OE_16h_polII_ChIPMix56_1	AN8645	polII	16h	1	ChIPMix56
AN8645_sCopy_OE_16h_polII_ChIPMix60_2	AN8645	polII	16h	2	ChIPMix60
