sampleId	SM_TF	timePoint	IP_tag	control	peakType
AN3501_sCopy_OE_16h_HIS_ChIPMix36_2	AN3501	16h	HIS	NA	narrow
AN3501_sCopy_OE_16h_polII_ChIPMix60_2	AN3501	16h	polII	NA	NA
AN3502_sCopy_OE_16h_HA_ChIPMix17_1	AN3502	16h	HA	NA	narrow
AN3502_sCopy_OE_16h_HA_ChIPMix55_2	AN3502	16h	HA	NA	narrow
AN3502_sCopy_OE_16h_polII_ChIPMix17_1	AN3502	16h	polII	NA	NA
AN3502_sCopy_OE_16h_polII_ChIPMix60_2	AN3502	16h	polII	NA	NA
AN3911_sCopy_OE_16h_FLAG_ChIPMix36_1	AN3911	16h	FLAG	NA	narrow
AN3911_sCopy_OE_16h_polII_ChIPMix60_1	AN3911	16h	polII	NA	NA
AN4562_sCopy_OE_16h_HA_ChIPMix46_1	AN4562	16h	HA	NA	narrow
AN4562_sCopy_OE_16h_HA_ChIPMix55_2	AN4562	16h	HA	NA	narrow
AN4562_sCopy_OE_16h_polII_ChIPMix36_1	AN4562	16h	polII	NA	NA
AN4562_sCopy_OE_16h_polII_ChIPMix55_2	AN4562	16h	polII	NA	NA
AN4837_sCopy_OE_16h_HA_ChIPMix55_1	AN4837	16h	HA	NA	narrow
AN4837_sCopy_OE_16h_HA_ChIPMix55_2	AN4837	16h	HA	NA	narrow
AN4837_sCopy_OE_16h_polII_ChIPMix60_1	AN4837	16h	polII	NA	NA
AN4933_sCopy_OE_16h_HA_ChIPMix55_1	AN4933	16h	HA	NA	narrow
AN4933_sCopy_OE_16h_HA_ChIPMix64_2	AN4933	16h	HA	NA	narrow
AN4933_sCopy_OE_16h_polII_ChIPMix56_1	AN4933	16h	polII	NA	NA
AN4933_sCopy_OE_16h_polII_ChIPMix60_2	AN4933	16h	polII	NA	NA
AN5609_sCopy_OE_16h_HA_ChIPMix36_1	AN5609	16h	HA	NA	narrow
AN5609_sCopy_OE_16h_polII_ChIPMix36_1	AN5609	16h	polII	NA	NA
AN5609_sCopy_OE_16h_polII_ChIPMix60_2	AN5609	16h	polII	NA	NA
AN6430_sCopy_OE_16h_HA_ChIPMix17_1	AN6430	16h	HA	NA	narrow
AN6430_sCopy_OE_16h_polII_ChIPMix17_1	AN6430	16h	polII	NA	NA
AN6430_sCopy_OE_16h_polII_ChIPMix60_2	AN6430	16h	polII	NA	NA
AN6788_sCopy_OE_16h_HA_ChIPMix36_1	AN6788	16h	HA	NA	narrow
AN6788_sCopy_OE_16h_HA_ChIPMix36_2	AN6788	16h	HA	NA	narrow
AN6788_sCopy_OE_16h_polII_ChIPMix60_1	AN6788	16h	polII	NA	NA
AN6788_sCopy_OE_16h_polII_ChIPMix60_2	AN6788	16h	polII	NA	NA
AN6790_mCopy_OE_16h_FLAG_ChIPMix17_1	AN6790	16h	FLAG	NA	narrow
AN6790_mCopy_OE_TSA_16h_FLAG_ChIPMix19_1	AN6790	16h	FLAG	NA	narrow
AN6790_mCopy_OE_16h_polII_ChIPMix17_1	AN6790	16h	polII	NA	NA
AN6790_mCopy_OE_TSA_16h_polII_ChIPMix19_1	AN6790	16h	polII	NA	NA
